protocol,rounds,logical_error,entanglement_fidelity,logical_p01,logical_p10,logical_bitflip_probability,logical_bitflip_asymmetry,logical_ptm_symmetry_pass,logical_ptm_xx,logical_ptm_yy,logical_ptm_zz,logical_ptm_z_shift,logical_coherent_information_bits,pauli_logical_p_i,pauli_logical_p_x,pauli_logical_p_y,pauli_logical_p_z,pauli_logical_error_probability,pauli_logical_bitflip_probability,pauli_logical_phaseflip_probability,pauli_logical_ptm_xx,pauli_logical_ptm_yy,pauli_logical_ptm_zz,pauli_logical_entanglement_fidelity,pauli_logical_coherent_information_bits,pauli_bitflip_consistency_error,phase_window_rounds,phase_avg_logical_error,phase_avg_entanglement_fidelity,phase_avg_coherent_information_bits,phase_avg_pauli_logical_error_probability,phase_avg_pauli_coherent_information_bits,updates,avg_l1_estimation_error,avg_meas_estimation_error,avg_syndrome_mi_bits,avg_logical_record_leakage_bits,worst_q_star,worst_eta_star,worst_alignment_floor,best_static_logical_error,adaptive_benefit_log10,overactive_penalty_log10,instant_proxy_gap_log10,best_protocol,schedule_phase_count,schedule_phase_mean_logical_error,schedule_phase_std_logical_error,schedule_phase_min_logical_error,schedule_phase_max_logical_error,schedule_phase_span_logical_error,schedule_phase_mean_coherent_information_bits,schedule_phase_mean_pauli_logical_error_probability,schedule_phase_mean_pauli_coherent_information_bits,schedule_phase_mean_adaptive_benefit_log10,schedule_phase_min_adaptive_benefit_log10,schedule_phase_max_adaptive_benefit_log10
uniform_decoder,96.0,0.4677221831820541,0.5322778168179456,0.46772218318205444,0.4677221831820543,0.4677221831820544,1.6653345369377348e-16,1.0,1.0,0.06455563363589123,0.06455563363589123,-1.6653345369377348e-16,0.003008256662974995,0.26712016875231476,0.23472306610636576,0.2329991170756892,0.2651576480656304,0.7328798312476854,0.46772218318205494,0.4981567651413196,0.0036864697173609184,0.00023857165600776886,0.0645556336358902,0.26712016875231476,-0.9969819401592237,5.551115123125783e-16,4.0,0.46698743847294977,0.53301256152705,0.0031477518970682294,0.7324747951223822,-0.9968417002319765,0.0,0.043839314516280904,0.014915814297129584,0.11486440697130613,2.7273128158620732e-17,0.9995483011753235,0.09236559863480191,83.39906963351204,0.4677221831820541,0.012432904932050362,0.005807249245249365,-0.007300611777116529,adaptive_decoder,4.0,0.4677221831820541,0.0,0.4677221831820541,0.4677221831820541,0.0,0.003008256662974995,0.7328798312476854,-0.9969819401592237,0.00950535349055448,0.004538408664320629,0.012754447279745885
static_tailored,96.0,0.4731728902528457,0.5268271097471544,0.47317289025284565,0.47317289025284565,0.47317289025284565,0.0,1.0,1.0,0.05365421949430871,0.05365421949430871,0.0,0.0020775948945480627,0.26438971166434116,0.2374631210205522,0.23570976923229328,0.26243739808281324,0.7356102883356588,0.4731728902528455,0.49814716731510655,0.003705665369786837,0.00019896179326900354,0.05365421949430893,0.26438971166434116,-0.9979124995704769,1.6653345369377348e-16,4.0,0.47264805538084664,0.5273519446191535,0.0021601813412225057,0.735310856122886,-0.9978291618424305,0.0,0.0527020375465122,0.008169331182761,0.11486440697130613,2.7273128158620732e-17,0.9999627639685367,0.11752349091882866,880.4925167783579,0.4677221831820541,0.012432904932050362,0.005807249245249365,-0.007300611777116529,adaptive_decoder,4.0,0.4731728902528457,0.0,0.4731728902528457,0.4731728902528457,0.0,0.0020775948945480627,0.7356102883356588,-0.9979124995704769,0.00950535349055448,0.004538408664320629,0.012754447279745885
adaptive_decoder,96.0,0.45452216141310775,0.5454778385868922,0.45452216141310775,0.45452216141310775,0.45452216141310775,0.0,1.0,1.0,0.0909556771737845,0.0909556771737845,0.0,0.005975916996847186,0.2737332025400135,0.22808945555052088,0.2264327058625873,0.2717446360468784,0.7262667974599866,0.4545221614131082,0.49817734190946567,0.003645316181068725,0.0003318168052015569,0.0909556771737837,0.2737332025400135,-0.994014497477937,4.440892098500626e-16,4.0,0.45410785911463813,0.5458921408853619,0.006085734807396048,0.7260221948093006,-0.9939039526854445,4.0,0.02912813451086409,0.005514875623867954,0.11486440697130613,2.7273128158620732e-17,0.9999627639685367,0.10835452193611951,880.4925167783579,0.4677221831820541,0.012432904932050362,0.005807249245249365,-0.007300611777116529,adaptive_decoder,4.0,0.45761015776515424,0.0035502202221348632,0.45418576746884826,0.4628599024684169,0.00867413499956865,0.005227607716535687,0.727813786823143,-0.9947627552146161,0.00950535349055448,0.004538408664320629,0.012754447279745885
overactive_decoder,96.0,0.46064070528330514,0.539359294716695,0.46064070528330486,0.46064070528330514,0.46064070528330503,2.7755575615628914e-16,1.0,1.0,0.07871858943338994,0.07871858943338994,2.7755575615628914e-16,0.004474541689982736,0.2703662827611017,0.23090670461822077,0.22973400066508673,0.2689930119555909,0.7296337172388984,0.46064070528330747,0.49872701262067765,0.00254597475864482,0.0002005668523767934,0.07871858943338508,0.2703662827611017,-0.9955207825393599,2.4424906541753444e-15,4.0,0.4601626584008761,0.5398373415991239,0.004584390100199842,0.7293644622095972,-0.995410517714606,96.0,0.00803728256000588,0.002001497074913389,0.11486440697130613,2.7273128158620732e-17,0.9999338631259679,0.11350250554169952,521.1136955057403,0.4677221831820541,0.012432904932050362,0.005807249245249365,-0.007300611777116529,adaptive_decoder,4.0,0.463156579595475,0.0031368224863496078,0.4599798672542612,0.46783791038593653,0.007858043131675319,0.0039488318362422,0.7308950505293172,-0.9960464950411001,0.00950535349055448,0.004538408664320629,0.012754447279745885
instant_proxy_decoder,96.0,0.46222738820485343,0.5377726117951466,0.4622273882048535,0.4622273882048534,0.46222738820485343,1.1102230246251565e-16,1.0,1.0,0.07554522359029314,0.07554522359029314,-1.1102230246251565e-16,0.004120713363411355,0.26988188990932616,0.23196933044697116,0.23025805775788205,0.26789072188582075,0.730118110090674,0.4622273882048532,0.4981487796437028,0.003702440712594457,0.00027989533441630243,0.0755452235902937,0.26988188990932616,-0.9958693983336631,2.220446049250313e-16,4.0,0.46160927178682587,0.5383907282131741,0.004257452678623597,0.7297711391429907,-0.9957319090455554,0.0,0.0,0.0,0.11486440697130613,2.7273128158620732e-17,0.9999627639685367,0.10855727400873828,880.4925167783579,0.4677221831820541,0.012432904932050362,0.005807249245249365,-0.007300611777116529,adaptive_decoder,4.0,0.46222738820485343,0.0,0.46222738820485343,0.46222738820485343,0.0,0.004120713363411355,0.730118110090674,-0.9958693983336631,0.00950535349055448,0.004538408664320629,0.012754447279745885
